time,T_Dalam,H_Dalam
"""2021-02-25T01:46:24.005Z""",26.2,67.7
"""2021-02-25T01:46:27.001Z""",26.2,67.6
"""2021-02-25T01:46:30.006Z""",26.2,67.5
"""2021-02-25T01:46:33.003Z""",26.2,67.3
"""2021-02-25T01:46:36.004Z""",26.2,67.3
"""2021-02-25T01:46:39.006Z""",26.1,67.3
"""2021-02-25T01:46:42.002Z""",26.2,67.3
"""2021-02-25T01:46:45.003Z""",26.1,67.3
"""2021-02-25T01:46:48.003Z""",26.2,67.3
"""2021-02-25T01:46:50.999Z""",26.1,67.3
"""2021-02-25T01:46:54.008Z""",26.2,67.3
"""2021-02-25T01:46:57.004Z""",26.1,67.2
"""2021-02-25T01:47:00.006Z""",26.1,67.3
"""2021-02-25T01:47:03.004Z""",26.1,67.2
"""2021-02-25T01:47:06.002Z""",26.1,67.2
"""2021-02-25T01:47:09.003Z""",26.1,67.2
"""2021-02-25T01:47:12.004Z""",26.2,67.3
"""2021-02-25T01:47:15.001Z""",26.1,67.3
"""2021-02-25T01:47:18.000Z""",26.1,66
"""2021-02-25T01:47:21.000Z""",26.1,67.2
"""2021-02-25T01:47:24.000Z""",26.1,67.4
"""2021-02-25T01:47:27.003Z""",26.1,67.3
"""2021-02-25T01:47:29.999Z""",26.1,67.2
"""2021-02-25T01:47:33.000Z""",26.1,67.2
"""2021-02-25T01:47:36.000Z""",26.1,67.2
"""2021-02-25T01:47:39.004Z""",26.1,66.3
"""2021-02-25T01:47:42.005Z""",26.1,67.2
"""2021-02-25T01:47:45.001Z""",26.1,67.2
"""2021-02-25T01:47:48.001Z""",26.1,65.9
"""2021-02-25T01:47:51.000Z""",26.1,67.1
"""2021-02-25T01:47:54.004Z""",26.1,67.1
"""2021-02-25T01:47:57.000Z""",26.1,67.2
"""2021-02-25T01:48:00.014Z""",26.1,67.2
"""2021-02-25T01:48:03.000Z""",26.1,67.2
"""2021-02-25T01:48:06.003Z""",26.1,67.2
"""2021-02-25T01:48:09.000Z""",26,67.1
"""2021-02-25T01:48:12.003Z""",26,67.2
"""2021-02-25T01:48:15.003Z""",26,67
"""2021-02-25T01:48:18.000Z""",26.1,67.2
"""2021-02-25T01:48:21.003Z""",26,67
"""2021-02-25T01:48:23.999Z""",26,67
"""2021-02-25T01:48:27.002Z""",26.1,67
"""2021-02-25T01:48:30.002Z""",26,66.9
"""2021-02-25T01:48:33.000Z""",26,66.9
"""2021-02-25T01:48:36.002Z""",26,66.9
"""2021-02-25T01:48:38.998Z""",26,65.6
"""2021-02-25T01:48:42.003Z""",26,66.8
"""2021-02-25T01:48:44.999Z""",26,66.8
"""2021-02-25T01:48:48.002Z""",26,66.8
"""2021-02-25T01:48:51.000Z""",26,66.8
"""2021-02-25T01:48:54.004Z""",26,66.7
"""2021-02-25T01:48:56.999Z""",26,66.6
"""2021-02-25T01:49:00.008Z""",26,65.6
"""2021-02-25T01:49:03.003Z""",26,66.7
"""2021-02-25T01:49:05.998Z""",26,66.6
"""2021-02-25T01:49:09.002Z""",26,65.4
"""2021-02-25T01:49:12.003Z""",26,66.7
"""2021-02-25T01:49:14.998Z""",26,66.7
"""2021-02-25T01:49:18.001Z""",26,66.7
"""2021-02-25T01:49:20.998Z""",26,66.7
"""2021-02-25T01:49:24.003Z""",26,66.6
"""2021-02-25T01:49:26.999Z""",25.9,66.5
"""2021-02-25T01:49:30.001Z""",26,66.6
"""2021-02-25T01:49:32.998Z""",26,66.6
"""2021-02-25T01:49:36.001Z""",25.9,66.6
"""2021-02-25T01:49:39.001Z""",25.9,65.9
"""2021-02-25T01:49:42.001Z""",25.9,66.5
"""2021-02-25T01:49:44.998Z""",25.9,66.5
"""2021-02-25T01:49:47.999Z""",25.9,66.6
"""2021-02-25T01:49:50.998Z""",25.9,66.6
"""2021-02-25T01:49:54.007Z""",26,66.7
"""2021-02-25T01:49:57.004Z""",25.9,66.5
"""2021-02-25T01:50:00.014Z""",25.9,66.5
"""2021-02-25T01:50:02.999Z""",25.9,66.4
"""2021-02-25T01:50:06.002Z""",25.9,66.4
"""2021-02-25T01:50:09.001Z""",25.9,66.3
"""2021-02-25T01:50:12.004Z""",25.9,66.3
"""2021-02-25T01:50:15.002Z""",25.9,66.4
"""2021-02-25T01:50:18.000Z""",25.9,66.4
"""2021-02-25T01:50:20.998Z""",25.9,65.4
"""2021-02-25T01:50:24.003Z""",25.9,66.3
"""2021-02-25T01:50:26.998Z""",25.9,66.3
"""2021-02-25T01:50:30.000Z""",25.9,65
"""2021-02-25T01:50:32.998Z""",25.9,66.2
"""2021-02-25T01:50:36.000Z""",25.9,66.5
"""2021-02-25T01:50:38.998Z""",25.9,66.5
"""2021-02-25T01:50:42.001Z""",25.9,66.3
"""2021-02-25T01:50:45.000Z""",25.9,66.4
"""2021-02-25T01:50:47.997Z""",25.9,66.3
"""2021-02-25T01:50:51.001Z""",25.9,66.2
"""2021-02-25T01:50:54.000Z""",25.9,66.3
"""2021-02-25T01:50:56.997Z""",25.9,66.3
"""2021-02-25T01:50:59.999Z""",25.9,65
"""2021-02-25T01:51:03.000Z""",25.8,66.2
"""2021-02-25T01:51:06.004Z""",25.9,66.1
"""2021-02-25T01:51:08.999Z""",25.9,66.1
"""2021-02-25T01:51:11.998Z""",25.9,66.1
"""2021-02-25T01:51:14.999Z""",25.9,66.2
"""2021-02-25T01:51:17.996Z""",25.9,66.1
"""2021-02-25T01:51:21.001Z""",25.8,66.3
"""2021-02-25T01:51:23.997Z""",25.9,66.4
"""2021-02-25T01:51:26.999Z""",25.9,66.6
"""2021-02-25T01:51:29.999Z""",25.9,66.7
"""2021-02-25T01:51:32.996Z""",25.9,66.9
"""2021-02-25T01:51:36.002Z""",25.8,67
"""2021-02-25T01:51:38.996Z""",25.9,67.1
"""2021-02-25T01:51:42.000Z""",25.9,66.3
"""2021-02-25T01:51:45.000Z""",25.9,67.3
"""2021-02-25T01:51:47.996Z""",25.8,67.2
"""2021-02-25T01:51:51.000Z""",25.8,67.5
"""2021-02-25T01:51:54.000Z""",25.8,67.5
"""2021-02-25T01:51:56.997Z""",25.9,67.7
"""2021-02-25T01:52:00.000Z""",25.8,67.8
"""2021-02-25T01:52:02.997Z""",25.8,67.9
"""2021-02-25T01:52:06.000Z""",25.8,68.1
"""2021-02-25T01:52:08.999Z""",25.9,68.2
"""2021-02-25T01:52:12.005Z""",25.8,68.2
"""2021-02-25T01:52:15.007Z""",25.8,68.4
"""2021-02-25T01:52:17.996Z""",25.9,68.5
"""2021-02-25T01:52:20.999Z""",25.8,67.3
"""2021-02-25T01:52:23.999Z""",25.9,68.6
"""2021-02-25T01:52:26.996Z""",25.9,68.5
"""2021-02-25T01:52:30.004Z""",25.9,68.7
"""2021-02-25T01:52:32.999Z""",25.9,67.8
"""2021-02-25T01:52:35.996Z""",25.9,68.9
"""2021-02-25T01:52:39.009Z""",25.9,69.1
"""2021-02-25T01:52:42.017Z""",25.9,69
"""2021-02-25T01:52:44.999Z""",25.9,69.2
"""2021-02-25T01:52:47.999Z""",25.9,69.2
"""2021-02-25T01:52:50.996Z""",25.9,67.8
