time,PMV,PPD
"""2021-02-25T02:18:37.660Z""",-0.09,5.2
"""2021-02-25T02:18:46.611Z""",-0.08,5.1
"""2021-02-25T02:18:52.778Z""",-0.09,5.2
"""2021-02-25T02:18:58.511Z""",-0.09,5.2
"""2021-02-25T02:19:07.569Z""",-0.09,5.2
"""2021-02-25T02:19:16.754Z""",-0.09,5.2
"""2021-02-25T02:19:25.498Z""",-0.12,5.3
"""2021-02-25T02:19:34.611Z""",-0.09,5.2
"""2021-02-25T02:19:40.887Z""",-0.12,5.3
"""2021-02-25T02:19:49.813Z""",-0.12,5.3
"""2021-02-25T02:19:58.820Z""",-0.12,5.3
"""2021-02-25T02:20:04.792Z""",-0.12,5.3
"""2021-02-25T02:20:13.754Z""",-0.12,5.3
"""2021-02-25T02:20:22.578Z""",-0.13,5.4
"""2021-02-25T02:20:31.883Z""",-0.15,5.5
"""2021-02-25T02:20:37.782Z""",-0.13,5.4
"""2021-02-25T02:20:46.740Z""",-0.13,5.4
"""2021-02-25T02:20:52.384Z""",-0.15,5.5
"""2021-02-25T02:21:01.858Z""",-0.16,5.5
"""2021-02-25T02:21:07.745Z""",-0.19,5.8
"""2021-02-25T02:21:16.875Z""",0.03,5
"""2021-02-25T02:21:22.930Z""",0.03,5
"""2021-02-25T02:21:31.659Z""",0.03,5
"""2021-02-25T02:21:37.886Z""",0.03,5
"""2021-02-25T02:21:45.663Z""",0.03,5
"""2021-02-25T02:21:52.467Z""",0,5
"""2021-02-25T02:21:56.569Z""",0.01,5
"""2021-02-25T02:22:06.719Z""",-0.02,5
"""2021-02-25T02:22:16.640Z""",-0.02,5
"""2021-02-25T02:22:19.778Z""",-0.02,5
"""2021-02-25T02:22:27.359Z""",-0.02,5
"""2021-02-25T02:22:33.771Z""",-0.02,5
"""2021-02-25T02:22:42.170Z""",0,5
"""2021-02-25T02:22:51.227Z""",-0.01,5
"""2021-02-25T02:22:59.691Z""",-0.02,5
"""2021-02-25T02:23:05.610Z""",0,5
"""2021-02-25T02:23:13.440Z""",0.05,5
"""2021-02-25T02:23:22.740Z""",0.05,5
"""2021-02-25T02:23:28.861Z""",0.05,5
"""2021-02-25T02:23:38.201Z""",0.05,5
"""2021-02-25T02:23:46.851Z""",0.05,5
"""2021-02-25T02:23:52.736Z""",0.05,5
"""2021-02-25T02:23:59.183Z""",0.05,5.1
"""2021-02-25T02:24:04.809Z""",0.05,5
"""2021-02-25T02:24:10.614Z""",0.05,5
"""2021-02-25T02:24:17.211Z""",0.05,5
"""2021-02-25T02:24:22.919Z""",0.05,5.1
"""2021-02-25T02:24:32.615Z""",0.05,5.1
"""2021-02-25T02:24:41.034Z""",0.06,5.1
"""2021-02-25T02:24:47.167Z""",0.06,5.1
"""2021-02-25T02:24:55.788Z""",0.08,5.1
"""2021-02-25T02:25:02.345Z""",0.06,5.1
"""2021-02-25T02:25:07.485Z""",0.06,5.1
"""2021-02-25T02:25:17.662Z""",0.06,5.1
"""2021-02-25T02:25:22.905Z""",0.08,5.1
"""2021-02-25T02:25:32.345Z""",0.06,5.1
"""2021-02-25T02:25:38.343Z""",0.09,5.2
"""2021-02-25T02:25:44.044Z""",0.13,5.3
"""2021-02-25T02:25:53.207Z""",0.13,5.3
"""2021-02-25T02:26:02.398Z""",0.13,5.3
"""2021-02-25T02:26:10.492Z""",0.12,5.3
"""2021-02-25T02:26:17.267Z""",0.09,5.1
"""2021-02-25T02:26:22.577Z""",0.13,5.3
"""2021-02-25T02:26:31.931Z""",0.13,5.3
"""2021-02-25T02:26:37.571Z""",0.13,5.3
"""2021-02-25T02:26:46.789Z""",0.13,5.4
"""2021-02-25T02:26:52.667Z""",0.13,5.3
"""2021-02-25T02:26:58.950Z""",0.13,5.3
"""2021-02-25T02:27:05.365Z""",-0.07,5.1
"""2021-02-25T02:27:13.510Z""",-0.07,5.1
"""2021-02-25T02:27:22.976Z""",-0.06,5.1
"""2021-02-25T02:27:31.944Z""",-0.06,5.1
"""2021-02-25T02:27:38.215Z""",-0.07,5.1
"""2021-02-25T02:27:48.113Z""",-0.07,5.1
"""2021-02-25T02:27:53.241Z""",-0.07,5.1
"""2021-02-25T02:27:59.110Z""",-0.07,5.1
"""2021-02-25T02:28:08.111Z""",-0.07,5.1
"""2021-02-25T02:28:16.586Z""",-0.07,5.1
"""2021-02-25T02:28:26.095Z""",-0.07,5.1
"""2021-02-25T02:28:33.088Z""",-0.05,5.1
"""2021-02-25T02:28:41.368Z""",-0.08,5.1
"""2021-02-25T02:28:47.265Z""",-0.08,5.1
"""2021-02-25T02:28:53.389Z""",-0.08,5.1
"""2021-02-25T02:29:01.816Z""",-0.12,5.3
"""2021-02-25T02:29:07.995Z""",-0.08,5.1
"""2021-02-25T02:29:14.160Z""",-0.12,5.3
"""2021-02-25T02:29:19.676Z""",-0.12,5.3
"""2021-02-25T02:29:29.260Z""",-0.09,5.2
"""2021-02-25T02:29:34.998Z""",-0.12,5.3
"""2021-02-25T02:29:41.080Z""",-0.12,5.3
"""2021-02-25T02:29:49.730Z""",-0.12,5.3
"""2021-02-25T02:29:58.995Z""",-0.15,5.5
"""2021-02-25T02:30:05.251Z""",-0.12,5.3
"""2021-02-25T02:30:10.946Z""",-0.15,5.5
"""2021-02-25T02:30:16.965Z""",-0.17,5.6
"""2021-02-25T02:30:23.095Z""",-0.15,5.5
"""2021-02-25T02:30:32.312Z""",-0.15,5.5
"""2021-02-25T02:30:41.032Z""",-0.15,5.5
"""2021-02-25T02:30:48.093Z""",-0.16,5.6
"""2021-02-25T02:30:56.180Z""",-0.19,5.8
"""2021-02-25T02:31:05.256Z""",-0.2,5.8
"""2021-02-25T02:31:10.815Z""",-0.19,5.8
"""2021-02-25T02:31:20.409Z""",0.03,5
"""2021-02-25T02:31:27.447Z""",-0.03,5
"""2021-02-25T02:31:32.889Z""",0,5
"""2021-02-25T02:31:42.401Z""",-0.01,5
"""2021-02-25T02:31:48.283Z""",0,5
"""2021-02-25T02:31:54.693Z""",0,5
"""2021-02-25T02:32:03.171Z""",0,5
"""2021-02-25T02:32:12.445Z""",-0.01,5
"""2021-02-25T02:32:18.590Z""",-0.02,5
"""2021-02-25T02:32:24.122Z""",-0.02,5
