time,T_Luar,H_Luar
"""2021-02-25T01:43:31.930Z""",29.4,89.7
"""2021-02-25T01:43:34.925Z""",29.4,89.7
"""2021-02-25T01:43:37.926Z""",29.4,88.4
"""2021-02-25T01:43:40.931Z""",29.4,88.4
"""2021-02-25T01:43:43.934Z""",29.4,89.7
"""2021-02-25T01:43:46.925Z""",29.4,89.8
"""2021-02-25T01:43:49.928Z""",29.4,88.9
"""2021-02-25T01:43:52.935Z""",29.5,89.8
"""2021-02-25T01:43:55.930Z""",29.4,88.5
"""2021-02-25T01:43:58.928Z""",29.4,89.8
"""2021-02-25T01:44:01.932Z""",29.4,89.8
"""2021-02-25T01:44:04.928Z""",29.4,89.8
"""2021-02-25T01:44:07.930Z""",29.4,89.8
"""2021-02-25T01:44:10.937Z""",29.4,88.5
"""2021-02-25T01:44:13.929Z""",29.4,89.8
"""2021-02-25T01:44:16.937Z""",29.4,89.8
"""2021-02-25T01:44:19.927Z""",29.4,89.9
"""2021-02-25T01:44:22.930Z""",29.4,90
"""2021-02-25T01:44:25.925Z""",29.4,90
"""2021-02-25T01:44:28.925Z""",29.4,90
"""2021-02-25T01:44:31.930Z""",29.4,89.9
"""2021-02-25T01:44:34.932Z""",29.4,88.6
"""2021-02-25T01:44:37.931Z""",29.4,89.9
"""2021-02-25T01:44:40.929Z""",29.4,89.1
"""2021-02-25T01:44:43.925Z""",29.5,88.7
"""2021-02-25T01:44:46.929Z""",29.5,90
"""2021-02-25T01:44:49.947Z""",29.4,89.8
"""2021-02-25T01:44:52.926Z""",29.4,89.8
"""2021-02-25T01:44:55.930Z""",29.4,89.7
"""2021-02-25T01:44:58.928Z""",29.4,89.7
"""2021-02-25T01:45:01.928Z""",29.4,89.8
"""2021-02-25T01:45:04.927Z""",29.4,89.8
"""2021-02-25T01:45:07.931Z""",29.4,89.8
"""2021-02-25T01:45:10.925Z""",29.5,88.6
"""2021-02-25T01:45:13.927Z""",29.5,89.9
"""2021-02-25T01:45:16.926Z""",29.5,89.9
"""2021-02-25T01:45:19.928Z""",29.5,89.9
"""2021-02-25T01:45:22.935Z""",29.4,88.6
"""2021-02-25T01:45:25.927Z""",29.5,90
"""2021-02-25T01:45:28.927Z""",29.5,90
"""2021-02-25T01:45:31.927Z""",29.5,88.7
"""2021-02-25T01:45:34.926Z""",29.5,90
"""2021-02-25T01:45:37.929Z""",29.5,89.9
"""2021-02-25T01:45:40.925Z""",29.5,88.6
"""2021-02-25T01:45:43.925Z""",29.5,89.9
"""2021-02-25T01:45:46.926Z""",29.5,90
"""2021-02-25T01:45:49.927Z""",29.5,90
"""2021-02-25T01:45:52.927Z""",29.6,90
"""2021-02-25T01:45:55.927Z""",29.6,90
"""2021-02-25T01:45:58.927Z""",29.6,90
"""2021-02-25T01:46:01.926Z""",29.6,89.2
"""2021-02-25T01:46:04.927Z""",29.6,89.9
"""2021-02-25T01:46:07.929Z""",29.6,88.4
"""2021-02-25T01:46:10.926Z""",29.6,88.4
"""2021-02-25T01:46:13.924Z""",29.6,89.6
"""2021-02-25T01:46:16.925Z""",29.6,88.4
"""2021-02-25T01:46:19.926Z""",29.6,89.8
