RC,PMV,TL,DC,time
192.37494133355062,0.10298821548821518,29.254666666666612,50,"""2021-02-16T15:47:44.716Z"""
200.0673766,0.092062818,33.66486318,60,"""2021-02-16T15:19:05.849Z"""
223.8855293,-0.522935702,32.90035247,100,"""2021-02-16T15:19:04.849Z"""
141.6719041,-0.863624879,32.8728355,100,"""2021-02-16T15:19:03.848Z"""
146.6348623,-1.244707379,32.6128593,100,"""2021-02-16T15:19:02.848Z"""
103.6293719,-1.048220339,31.90570131,100,"""2021-02-16T15:19:01.847Z"""
208.2098016,-1.14073854,31.47838063,100,"""2021-02-16T15:19:00.847Z"""
228.2487499,-1.013112807,30.97231467,100,"""2021-02-16T15:18:59.845Z"""
115.5247207,-1.119542373,30.659375,100,"""2021-02-16T15:18:58.845Z"""
184.5960015,-0.740732723,30.54231537,100,"""2021-02-16T15:18:57.843Z"""
